Generation	Size	Frequency	Count
0.000000	1	0.001000	0
0.000000	2	0.002000	0
0.000000	3	0.003000	0
0.000000	4	0.004000	0
0.000000	5	0.005000	0
0.000000	6	0.006000	0
0.000000	7	0.007000	0
0.000000	8	0.008000	0
0.000000	9	0.009000	0
0.000000	10	0.010000	0
0.000000	1000	1.000000	1
10.000235	1	0.000943	58
10.000235	2	0.001887	18
10.000235	3	0.002830	10
10.000235	4	0.003774	9
10.000235	5	0.004717	3
10.000235	6	0.005660	7
10.000235	7	0.006604	2
10.000235	8	0.007547	2
10.000235	9	0.008491	2
10.000235	10	0.009434	1
10.000235	761	0.717925	1
10.000235	12	0.011321	2
